stat_week,m,d,user id,stats_trackers_created,stats_sent_notifications_desktop,stats_gmail_insights_viewed,stats_insights_viewed,stats_activities_zapier,stats_stream_viewed
42,10,21,630,1,1,0,0,0,3
42,10,21,631,1,2,0,0,0,2
42,10,21,632,1,1,0,0,0,2
42,10,21,633,2,2,0,0,0,1
42,10,21,634,1,2,0,0,0,1
42,10,21,635,1,4,0,0,0,3
42,10,21,636,3,3,4,0,0,2
42,10,21,637,1,2,3,0,0,3
42,10,21,638,2,2,1,0,0,6
42,10,21,639,1,1,0,0,0,2
42,10,21,640,1,4,90,0,0,3
42,10,21,641,3,6,4,0,0,10
42,10,21,642,4,1,1,0,0,2
42,10,20,643,1,1,0,0,0,3
42,10,20,644,2,5,1,0,0,3
42,10,20,645,1,1,1,0,0,3
42,10,20,646,2,1,4,1,0,3
42,10,20,647,1,1,0,0,0,9
42,10,20,648,1,1,2,0,0,5
42,10,20,649,1,1,1,0,0,1
42,10,20,650,1,2,0,0,0,2
42,10,20,651,2,1,6,0,0,5
42,10,20,652,1,1,0,0,0,3
42,10,20,653,2,2,4,0,0,1
42,10,20,654,1,2,2,0,0,3
42,10,20,655,1,1,2,0,0,3
42,10,20,656,1,3,3,0,0,6
42,10,20,657,1,1,0,0,0,2
42,10,20,658,1,5,2,0,0,5
42,10,20,659,1,1,0,0,0,2
42,10,20,660,1,3,0,0,0,2
42,10,20,661,1,1,5,0,0,1
42,10,20,662,2,1,3,0,0,1
42,10,20,663,1,1,0,0,0,2
42,10,20,664,9,2,7,0,0,10
42,10,20,665,1,1,2,0,0,8
42,10,20,666,1,1,1,0,0,3
42,10,20,667,1,1,0,0,0,1
42,10,20,668,1,1,0,0,0,1
42,10,20,669,1,2,7,0,0,3
42,10,20,670,1,2,13,0,0,6
42,10,20,671,1,1,0,0,0,2
42,10,20,672,2,7,3,0,0,5
42,10,20,673,1,1,5,0,0,1
42,10,20,674,1,1,16,0,0,3
42,10,20,675,2,4,2,0,0,1
42,10,20,676,2,2,2,0,0,3
42,10,20,677,1,1,0,0,0,2
42,10,20,678,1,2,0,0,0,5
42,10,20,679,1,1,1,0,0,2
42,10,20,680,1,1,0,0,0,4
42,10,20,681,1,1,0,0,0,5
42,10,20,682,1,1,0,0,0,1
42,10,20,683,1,2,0,0,0,5
42,10,20,684,2,2,2,0,0,3
42,10,20,685,1,1,0,0,0,2
42,10,20,686,3,1,4,0,0,2
42,10,20,687,1,1,0,0,0,2
42,10,20,688,1,1,5,0,0,2
